152.34 Hz | Z: -9.12 Magnitude: 0.05
153.32 Hz | Z: -9.12 Magnitude: 0.06
154.30 Hz | Z: -9.13 Magnitude: 0.02
155.27 Hz | Z: -9.13 Magnitude: 0.04
156.25 Hz | Z: -9.13 Magnitude: 0.01
157.23 Hz | Z: -9.13 Magnitude: 0.02
158.20 Hz | Z: -9.13 Magnitude: 0.02
159.18 Hz | Z: -9.13 Magnitude: 0.02
160.16 Hz | Z: -9.13 Magnitude: 0.03
161.13 Hz | Z: -9.13 Magnitude: 0.03
162.11 Hz | Z: -9.13 Magnitude: 0.02
163.09 Hz | Z: -9.13 Magnitude: 0.01
164.06 Hz | Z: -9.13 Magnitude: 0.03
165.04 Hz | Z: -9.13 Magnitude: 0.03
166.02 Hz | Z: -9.13 Magnitude: 0.02
166.99 Hz | Z: -9.13 Magnitude: 0.01
167.97 Hz | Z: -9.12 Magnitude: 0.06
168.95 Hz | Z: -9.12 Magnitude: 0.04
169.92 Hz | Z: -9.12 Magnitude: 0.06
170.90 Hz | Z: -9.12 Magnitude: 0.05
171.87 Hz | Z: -9.12 Magnitude: 0.04
172.85 Hz | Z: -9.12 Magnitude: 0.01
173.83 Hz | Z: -9.12 Magnitude: 0.05
174.80 Hz | Z: -9.12 Magnitude: 0.03
175.78 Hz | Z: -9.12 Magnitude: 0.03
176.76 Hz | Z: -9.12 Magnitude: 0.02
177.73 Hz | Z: -9.12 Magnitude: 0.03
178.71 Hz | Z: -9.12 Magnitude: 0.04
179.69 Hz | Z: -9.12 Magnitude: 0.03
180.66 Hz | Z: -9.12 Magnitude: 0.03
181.64 Hz | Z: -9.12 Magnitude: 0.01
182.62 Hz | Z: -9.12 Magnitude: 0.04
183.59 Hz | Z: -9.12 Magnitude: 0.01
184.57 Hz | Z: -9.12 Magnitude: 0.03
185.55 Hz | Z: -9.12 Magnitude: 0.05
186.52 Hz | Z: -9.12 Magnitude: 0.06
187.50 Hz | Z: -9.12 Magnitude: 0.03
188.48 Hz | Z: -9.12 Magnitude: 0.02
189.45 Hz | Z: -9.12 Magnitude: 0.02
190.43 Hz | Z: -9.12 Magnitude: 0.03
191.41 Hz | Z: -9.12 Magnitude: 0.03
192.38 Hz | Z: -9.13 Magnitude: 0.03
193.36 Hz | Z: -9.12 Magnitude: 0.01
194.34 Hz | Z: -9.12 Magnitude: 0.05
195.31 Hz | Z: -9.12 Magnitude: 0.01
196.29 Hz | Z: -9.12 Magnitude: 0.02
197.27 Hz | Z: -9.11 Magnitude: 0.03
198.24 Hz | Z: -9.11 Magnitude: 0.04
199.22 Hz | Z: -9.11 Magnitude: 0.01
200.20 Hz | Z: -9.11 Magnitude: 0.03
201.17 Hz | Z: -9.11 Magnitude: 0.02
202.15 Hz | Z: -9.11 Magnitude: 0.05
203.12 Hz | Z: -9.12 Magnitude: 0.04
204.10 Hz | Z: -9.12 Magnitude: 0.02
205.08 Hz | Z: -9.12 Magnitude: 0.02
206.05 Hz | Z: -9.13 Magnitude: 0.03
207.03 Hz | Z: -9.13 Magnitude: 0.00
208.01 Hz | Z: -9.13 Magnitude: 0.01
208.98 Hz | Z: -9.13 Magnitude: 0.02
209.96 Hz | Z: -9.12 Magnitude: 0.03
210.94 Hz | Z: -9.12 Magnitude: 0.05
